,Rank,Puzzles,AMT (s),Solve Rate,Original Rank,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Num Solutions
0,1,1 1 11 11,4.41,0.996,2,11+11+1+1,,,,,,,,,,,1
1,2,6 6 6 6,4.59,0.9940000000000001,5,6+6+6+6,6*6-6-6,,,,,,,,,,2
2,9,1 2 2 6,4.8,0.992,7,(6+2)*(2+1),6*2*2*1,(2+2)*6*1,,,,,,,,,3
3,7,1 1 4 6,4.4,0.992,1,6*4+1-1,,,,,,,,,,,1
4,14,1 1 5 5,5.35,0.991,51,(5+1)*(5-1),(5*5-1)*1,,,,,,,,,,2
5,15,1 2 3 4,5.1,0.99,22,(3+2+1)*4,4*3*2*1,(4+2)*(3+1),,,,,,,,,3
6,19,4 6 11 11,5.0,0.9890000000000001,14,6*4+11-11,11+11+6-4,,,,,,,,,,2
7,23,5 5 12 12,5.42,0.987,62,(12-5-5)*12,5*5-12/12,12+12+5-5,,,,,,,,,3
8,30,2 2 12 12,5.68,0.987,104,12+12+2-2,(12*2-12)*2,,,,,,,,,,2
9,29,3 3 12 12,5.36,0.987,52,12*12/(3+3),12+12+3-3,(12-12/3)*3,,,,,,,,,3
10,26,4 6 13 13,5.24,0.987,36,6*4+13-13,13+13+4-6,,,,,,,,,,2
11,22,1 1 2 13,5.19,0.987,31,13*2-1-1,(1+1)*13-2,(13-1)*2*1,,,,,,,,,3
12,34,12 12 13 13,5.4,0.986,59,13+12+12-13,,,,,,,,,,,1
13,39,1 5 7 11,6.03,0.985,179,11+7+5+1,(5+1)*(11-7),(11+1)*(7-5),(7*5-11)*1,,,,,,,,4
14,44,1 1 2 6,5.09,0.9840000000000001,20,(1+1)*6*2,(2+1+1)*6,,,,,,,,,,2
15,51,1 4 7 12,5.59,0.983,87,12+7+4+1,(7-4-1)*12,(7+1)*12/4,(12+1-7)*4,,,,,,,,4
16,56,1 6 6 11,5.71,0.982,111,11+6+6+1,(11-6-1)*6,6*6-11-1,,,,,,,,,3
17,58,1 6 8 9,6.05,0.982,186,9+8+6+1,(9-6)*8*1,8/(1-6/9),,,,,,,,,3
18,67,2 2 3 12,5.76,0.98,124,(2+2)*3+12,(12-2-2)*3,3*2*2+12,(12-2*2)*3,(3-2/2)*12,(3-2)*12*2,12/(2-3/2),(12/2+2)*3,,,,8
19,63,2 2 11 13,6.04,0.98,182,13+11+2-2,,,,,,,,,,,1
20,78,11 13 13 13,5.85,0.978,136,13+13+11-13,,,,,,,,,,,1
21,74,5 5 7 7,5.65,0.978,100,7+7+5+5,7*7-5*5,5*5-7/7,(7+5)*(7-5),,,,,,,,4
22,102,1 7 8 10,5.99,0.975,173,10+8+7-1,(10-7)*8*1,,,,,,,,,,2
23,101,1 4 6 13,6.51,0.975,285,13+6+4+1,(13-6-1)*4,(13-1)*(6-4),,,,,,,,,3
24,132,6 8 10 12,6.74,0.972,341,8*6/(12-10),12+10+8-6,(10+6)*12/8,12*8/(10-6),(10-8)*6+12,,,,,,,5
25,138,1 2 4 4,5.99,0.971,172,(4+4)*(2+1),(4+2)*4*1,(4-1)*4*2,,,,,,,,,3
26,151,1 2 3 8,6.2,0.97,219,(2-1)*8*3,(8-2)*(3+1),(8+3+1)*2,8/(1-2/3),,,,,,,,4
27,172,9 9 11 13,5.81,0.968,132,13+11+9-9,,,,,,,,,,,1
28,173,1 1 5 6,5.19,0.968,32,(5-1)*6*1,(6-1)*5-1,,,,,,,,,,2
29,178,10 11 11 12,7.31,0.9670000000000001,494,12+11+11-10,,,,,,,,,,,1
30,194,3 8 12 12,6.03,0.965,181,8*3+12-12,12/3+12+8,(12-8)*3+12,,,,,,,,,3
31,189,1 8 9 12,5.56,0.965,80,(12-9)*8*1,(9+1-8)*12,8/(12/9-1),,,,,,,,,3
32,187,1 4 7 13,6.54,0.965,293,(13-7)*4*1,(13+7+4)*1,,,,,,,,,,2
33,201,1 2 2 13,7.09,0.9640000000000001,435,(13+1-2)*2,(13*2-2)*1,,,,,,,,,,2
34,207,1 1 5 8,5.0,0.9640000000000001,13,(5-1-1)*8,,,,,,,,,,,1
35,208,7 9 13 13,6.83,0.963,362,13+13+7-9,(13-7)*(13-9),,,,,,,,,,2
36,213,1 8 8 12,5.61,0.963,90,(12-8-1)*8,(8/8+1)*12,8/(1-8/12),,,,,,,,,3
37,220,8 9 12 12,5.75,0.9620000000000001,122,(12+12)*(9-8),(12-8)*9-12,12*12/9+8,,,,,,,,,3
38,242,1 3 6 7,6.91,0.96,383,(7-3)*6*1,(7+1)*(6-3),6*3+7-1,(7-1)*3+6,,,,,,,,4
39,240,8 9 12 13,6.91,0.96,384,13+12+8-9,12*8/(13-9),,,,,,,,,,2
40,247,1 3 3 7,6.41,0.9590000000000001,262,(7*3+3)*1,,,,,,,,,,,1
41,260,3 3 9 9,7.32,0.9590000000000001,496,9+9+3+3,9*3-9/3,(3-3/9)*9,9*9/3-3,,,,,,,,4
42,266,7 9 11 11,6.29,0.958,241,11+11+9-7,,,,,,,,,,,1
43,271,1 4 4 4,7.41,0.9570000000000001,515,(4+1)*4+4,(4+4)*(4-1),,,,,,,,,,2
44,273,2 6 10 10,7.11,0.9570000000000001,442,10+10+6-2,10*2+10-6,,,,,,,,,,2
45,277,4 4 5 6,6.29,0.9570000000000001,240,(5-4/4)*6,(5-4)*6*4,,,,,,,,,,2
46,284,1 8 10 12,5.83,0.956,134,(12+1-10)*8,(10-8)*12*1,,,,,,,,,,2
47,280,6 7 12 12,5.56,0.956,81,(12+12)*(7-6),,,,,,,,,,,1
48,293,2 12 12 13,6.3,0.955,242,(13-12)*12*2,(13-12/12)*2,,,,,,,,,,2
49,298,1 2 3 3,8.59,0.955,734,(3+1)*3*2,,,,,,,,,,,1
50,305,1 4 8 11,7.83,0.9540000000000001,596,11+8+4+1,(11+1)*8/4,,,,,,,,,,2
51,317,9 10 10 13,7.41,0.9520000000000001,516,13+10+10-9,,,,,,,,,,,1
52,334,2 8 9 12,6.66,0.95,323,9*8/2-12,(9-8)*12*2,(9-12/2)*8,(8/12+2)*9,,,,,,,,4
53,333,1 2 5 7,6.73,0.95,336,(7+5)*2*1,(7+1)*(5-2),(7-2)*5-1,,,,,,,,,3
54,346,1 5 5 6,7.48,0.9490000000000001,531,6*5-5-1,(5+1)*5-6,,,,,,,,,,2
55,362,3 3 11 12,5.72,0.9470000000000001,115,(11-3*3)*12,3/3+12+11,11*3+3-12,,,,,,,,,3
56,383,4 8 8 12,8.83,0.9440000000000001,766,12+8+8-4,12*8/(8-4),(12-8)*4+8,,,,,,,,,3
57,398,1 6 8 13,7.27,0.943,478,(13-8-1)*6,(13-1)*(8-6),,,,,,,,,,2
58,408,5 7 13 13,7.47,0.9420000000000001,529,13+13+5-7,,,,,,,,,,,1
59,405,1 11 12 12,6.9,0.9420000000000001,378,(12+1-11)*12,,,,,,,,,,,1
60,450,4 7 7 8,6.09,0.938,198,(7+7-8)*4,(4-7/7)*8,,,,,,,,,,2
61,445,1 11 12 13,7.35,0.938,501,(13-11)*12*1,,,,,,,,,,,1
62,451,7 7 11 12,5.49,0.937,71,7/7+12+11,(12-7)*7-11,,,,,,,,,,2
63,465,1 5 9 10,8.07,0.935,644,(10+9+5)*1,,,,,,,,,,,1
64,468,1 2 11 13,6.78,0.935,348,(13+11)*(2-1),,,,,,,,,,,1
65,469,5 6 7 8,7.71,0.935,576,(7+5)*(8-6),(7+5-8)*6,8*6/(7-5),,,,,,,,,3
66,463,3 5 6 8,7.35,0.935,502,8*6/(5-3),(5-6/3)*8,(6-5)*8*3,,,,,,,,,3
67,473,1 11 11 12,5.93,0.934,158,(11/11+1)*12,,,,,,,,,,,1
68,476,3 4 8 10,7.27,0.934,479,(10-4-3)*8,(10-8)*4*3,(10+8)*4/3,(10-8/4)*3,,,,,,,,4
69,472,2 3 10 13,8.51,0.934,721,13+10+3-2,(13-10/2)*3,,,,,,,,,,2
70,483,1 2 7 9,9.26,0.9329999999999999,825,9*2+7-1,7*2+9+1,,,,,,,,,,2
71,492,2 2 3 3,7.96,0.9329999999999999,627,(3+3)*(2+2),(3+3)*2*2,(3*2+2)*3,,,,,,,,,3
72,511,1 3 6 9,7.99,0.9309999999999999,632,(3-1)*9+6,(6-1)*3+9,(9+1)*3-6,(9-1)*(6-3),(9/3+1)*6,,,,,,,5
73,513,3 4 7 9,7.9,0.9309999999999999,616,(9-7)*4*3,9*3+4-7,(7+4)*3-9,(7-4)*9-3,,,,,,,,4
74,514,3 6 12 12,7.69,0.93,570,(6-3)*12-12,(12-6)*12/3,(6-12/3)*12,(12/12+3)*6,,,,,,,,4
75,538,5 10 13 13,7.48,0.925,533,10*5-13-13,13+13-10/5,(13-5)*(13-10),,,,,,,,,3
76,560,5 6 8 8,7.34,0.922,500,(6+5-8)*8,(5-8/8)*6,,,,,,,,,,2
77,568,2 3 3 7,8.4,0.9209999999999999,699,(7-3)*3*2,(7+3-2)*3,(7+2)*3-3,,,,,,,,,3
78,583,1 5 10 12,6.55,0.92,296,12*10*1/5,12/(1-5/10),,,,,,,,,,2
79,581,4 10 12 12,8.0,0.92,635,(10+4-12)*12,12*12/(10-4),12*4/(12-10),,,,,,,,,3
80,586,2 3 6 6,10.65,0.919,954,(3+2)*6-6,6*6*2/3,(6+2)*(6-3),(6+3)*2+6,(6*3-6)*2,(6/3+2)*6,,,,,,6
81,592,1 3 6 13,8.2,0.9179999999999999,673,(13+1-6)*3,(13-1)*6/3,,,,,,,,,,2
82,593,2 4 6 9,8.58,0.9179999999999999,731,(9-6)*4*2,(4-2)*9+6,9*4/2+6,9*4-6*2,(9-6/2)*4,(4/6+2)*9,6/(9/4-2),,,,,7
83,601,6 7 8 10,7.88,0.9159999999999999,612,(7+6-10)*8,7*6-10-8,(8-6)*7+10,,,,,,,,,3
84,609,6 8 12 12,8.77,0.915,759,(8+6-12)*12,8*6-12-12,12*8-12*6,(12-6)*(12-8),12*12/8+6,,,,,,,5
85,608,2 2 9 11,7.84,0.915,598,11+9+2+2,2*2+11+9,,,,,,,,,,2
86,614,4 4 8 10,8.8,0.914,761,(10+4-8)*4,(10-4)*(8-4),10*8/4+4,,,,,,,,,3
87,621,1 11 13 13,8.49,0.9129999999999999,716,(13-1)*(13-11),(11/13+1)*13,,,,,,,,,,2
88,622,4 5 5 9,8.99,0.9129999999999999,796,5*4+9-5,(9-5)*5+4,,,,,,,,,,2
89,626,1 4 12 12,6.29,0.912,238,(4-1)*12-12,(12/4-1)*12,,,,,,,,,,2
90,632,4 4 4 7,7.4,0.9109999999999999,514,(4+4)*(7-4),(7-4/4)*4,,,,,,,,,,2
91,635,6 8 8 10,8.16,0.91,668,8*6/(10-8),(10+8)*8/6,(10-6)*8-8,,,,,,,,,3
92,650,6 6 8 12,9.53,0.9079999999999999,855,8*6*6/12,12*6-8*6,(8-6)*6+12,(12+6)*8/6,,,,,,,,4
93,652,4 7 8 13,9.53,0.907,854,13+8+7-4,(13-7)*(8-4),,,,,,,,,,2
94,664,1 4 5 11,8.12,0.9059999999999999,656,(11-5)*4*1,,,,,,,,,,,1
95,688,4 5 6 10,10.02,0.903,901,5*4+10-6,6*5+4-10,(10-4)*5-6,(10-6)*5+4,,,,,,,,4
96,682,6 6 8 9,8.38,0.903,696,(6+6-9)*8,(8-6)*9+6,,,,,,,,,,2
97,693,3 9 10 12,8.92,0.902,781,(9+3)*(12-10),(9+3-10)*12,,,,,,,,,,2
98,701,3 3 6 11,9.21,0.902,816,11*3-6-3,(11+3-6)*3,(11-3)*(6-3),,,,,,,,,3
99,711,2 3 9 10,10.55,0.9,948,10+9+3+2,10*3/2+9,(9*2-10)*3,(10-2)*9/3,,,,,,,,4
100,721,5 8 9 11,8.24,0.899,677,(8-5)*11-9,(9+5-11)*8,(11-8)*5+9,,,,,,,,,3
101,736,1 3 3 10,8.94,0.8959999999999999,783,(10+1-3)*3,(10-1)*3-3,,,,,,,,,,2
102,753,1 6 12 13,8.38,0.894,694,(13-1)*12/6,,,,,,,,,,,1
103,776,6 6 11 12,6.46,0.889,274,6/6+12+11,,,,,,,,,,,1
104,795,1 5 10 13,9.13,0.8859999999999999,812,(13-1)*10/5,,,,,,,,,,,1
105,796,4 7 12 12,6.12,0.885,203,(7-4)*12-12,(12*7+12)/4,(7-12/12)*4,,,,,,,,,3
106,815,1 2 7 11,10.5,0.8809999999999999,943,7*2+11-1,,,,,,,,,,,1
107,824,4 5 5 8,7.28,0.88,482,(4-5/5)*8,,,,,,,,,,,1
108,823,7 9 9 13,10.26,0.88,926,13+9+9-7,,,,,,,,,,,1
109,827,5 6 7 7,6.69,0.878,330,(5-7/7)*6,,,,,,,,,,,1
110,834,3 4 8 12,11.17,0.877,991,12*4/3+8,12*4-8*3,12*3-8-4,(8+4)*3-12,(12+4-8)*3,(8-4)*3+12,,,,,,6
111,845,2 2 5 11,9.1,0.8740000000000001,807,(11-5)*(2+2),(11-5)*2*2,,,,,,,,,,2
112,854,2 6 8 13,10.72,0.872,961,6/2+13+8,13*2+6-8,(8-6)*13-2,,,,,,,,,3
113,853,2 4 6 13,9.65,0.872,865,13*2+4-6,(6-4)*13-2,(13-4)*2+6,4/(13/6-2),,,,,,,,4
114,858,2 7 9 13,9.41,0.872,840,9*2+13-7,13*2+7-9,(9-7)*13-2,,,,,,,,,3
115,856,3 4 8 11,9.88,0.872,883,(11+3-8)*4,8*4+3-11,(11-3)*4-8,8/(4-11/3),,,,,,,,4
116,863,5 5 6 11,10.0,0.871,896,6*5+5-11,(11-5)*5-6,,,,,,,,,,2
117,869,5 8 8 9,7.83,0.87,597,9*8/(8-5),(9-5)*8-8,,,,,,,,,,2
118,870,6 9 9 12,12.26,0.87,1057,12+9+9-6,,,,,,,,,,,1
119,868,4 4 8 11,8.33,0.87,689,(4+4)*(11-8),(11-4-4)*8,,,,,,,,,,2
120,874,3 3 6 12,11.36,0.8690000000000001,1006,12+6+3+3,(3+3)*6-12,,,,,,,,,,2
121,881,6 7 9 12,9.65,0.868,866,(9+7-12)*6,(9-7)*6+12,,,,,,,,,,2
122,888,5 5 10 10,6.94,0.867,394,5*5-10/10,,,,,,,,,,,1
123,890,3 7 7 9,7.22,0.866,468,(9-7/7)*3,,,,,,,,,,,1
124,891,7 8 8 9,7.13,0.866,449,(9-7)*8+8,,,,,,,,,,,1
125,905,3 3 6 10,9.87,0.8640000000000001,882,(3+3)*(10-6),(10-3-3)*6,(6*3-10)*3,(10-6/3)*3,,,,,,,,4
126,902,3 3 6 13,10.01,0.8640000000000001,898,(13-3*3)*6,(13-3)*3-6,(13-6)*3+3,,,,,,,,,3
127,904,5 6 7 13,10.2,0.8640000000000001,922,6*5+7-13,(13+7)*6/5,7*6-13-5,(13-7)*5-6,,,,,,,,4
128,910,3 9 13 13,7.4,0.863,513,(9-13/13)*3,,,,,,,,,,,1
129,913,2 4 5 9,9.49,0.863,848,(4+2)*(9-5),(9+2-5)*4,(9+5)*2-4,,,,,,,,,3
130,914,4 4 5 10,8.96,0.863,787,(10-5)*4+4,(10/5+4)*4,,,,,,,,,,2
131,918,3 5 7 9,11.66,0.862,1025,9+7+5+3,9*5-7*3,(5-7/3)*9,(9+3)*(7-5),,,,,,,,4
132,920,2 2 3 11,9.1,0.861,806,(11+3-2)*2,,,,,,,,,,,1
133,938,2 3 5 13,12.07,0.855,1048,3*2+13+5,13*2+3-5,(5-3)*13-2,,,,,,,,,3
134,946,1 3 7 12,11.64,0.8540000000000001,1024,(7-1)*12/3,,,,,,,,,,,1
135,953,1 1 7 10,8.08,0.851,647,(1+1)*7+10,,,,,,,,,,,1
136,962,2 2 5 12,10.72,0.848,960,5*2+12+2,12/(5/2-2),,,,,,,,,,2
137,972,3 5 7 10,10.99,0.845,978,(5+3)*(10-7),(5-3)*7+10,(10+5-7)*3,,,,,,,,,3
138,971,3 3 3 9,9.25,0.845,824,(9-3/3)*3,,,,,,,,,,,1
139,982,6 6 7 10,7.75,0.8420000000000001,584,(10-7)*6+6,,,,,,,,,,,1
140,995,1 7 10 13,10.75,0.8370000000000001,965,(7+1)*(13-10),,,,,,,,,,,1
141,996,7 8 8 12,10.66,0.836,956,(8+7-12)*8,,,,,,,,,,,1
142,1006,3 9 10 13,10.83,0.83,969,9*3+10-13,(13-10)*9-3,,,,,,,,,,2
143,1011,2 5 8 10,11.88,0.8290000000000001,1040,(10-5-2)*8,(10-2)*(8-5),,,,,,,,,,2
144,1015,1 4 5 8,13.16,0.8270000000000001,1099,(5+1)*(8-4),(5-1)*4+8,,,,,,,,,,2
145,1017,7 12 12 13,9.05,0.826,803,12*12/(13-7),(13*12+12)/7,,,,,,,,,,2
146,1024,4 4 9 11,8.57,0.825,729,(11+4-9)*4,,,,,,,,,,,1
147,1020,3 5 6 11,12.59,0.825,1072,(5*3-11)*6,6*3+11-5,(11-5)*3+6,,,,,,,,,3
148,1026,3 3 3 4,12.34,0.8240000000000001,1061,(3*3-3)*4,(4+3)*3+3,,,,,,,,,,2
149,1033,8 9 9 12,11.45,0.8240000000000001,1014,9*8/(12-9),,,,,,,,,,,1
150,1028,6 9 9 11,10.33,0.8240000000000001,934,(9-6)*11-9,(11-9)*9+6,,,,,,,,,,2
151,1051,3 6 8 13,14.97,0.813,1153,13+8+6-3,,,,,,,,,,,1
152,1052,5 5 8 10,10.21,0.813,923,(10+5)*8/5,(5-10/5)*8,,,,,,,,,,2
153,1057,1 5 6 11,13.06,0.81,1096,(6+1)*5-11,(11-6)*5-1,,,,,,,,,,2
154,1059,2 8 10 13,13.34,0.809,1104,13*2+8-10,(10-8)*13-2,,,,,,,,,,2
155,1061,5 5 8 13,11.11,0.8079999999999999,989,(13-5-5)*8,(13-5)*(8-5),,,,,,,,,,2
156,1060,2 3 6 7,16.08,0.8079999999999999,1175,7*6/2+3,7*3+6/2,(7*2-6)*3,,,,,,,,,3
157,1064,7 8 8 11,8.48,0.8059999999999999,714,(11-7)*8-8,,,,,,,,,,,1
158,1071,6 7 9 9,11.41,0.804,1010,7*6-9-9,(9+7)*9/6,(9-7)*9+6,,,,,,,,,3
159,1075,2 3 5 10,13.29,0.802,1103,(10+2)*(5-3),(10+5-3)*2,,,,,,,,,,2
160,1082,2 8 10 12,17.74,0.7979999999999999,1202,10*2+12-8,12/2+10+8,(10+8)*2-12,,,,,,,,,3
161,1089,3 5 9 9,13.9,0.794,1118,9*5/3+9,(9-3)*(9-5),,,,,,,,,,2
162,1088,4 7 8 12,14.95,0.794,1150,7*4+8-12,(12-8)*7-4,,,,,,,,,,2
163,1093,3 3 9 11,14.2,0.7909999999999999,1123,(11-3)*9/3,(11-9/3)*3,,,,,,,,,,2
164,1104,2 6 6 7,12.21,0.784,1052,(7-6/2)*6,(7-2)*6-6,(7*6+6)/2,,,,,,,,,3
165,1115,7 10 10 12,12.21,0.78,1053,(12-10)*7+10,,,,,,,,,,,1
166,1117,6 8 11 12,13.39,0.779,1108,12*6/(11-8),,,,,,,,,,,1
167,1126,2 3 7 10,16.91,0.769,1190,10*2+7-3,(10*7+2)/3,,,,,,,,,,2
168,1160,5 5 7 10,13.19,0.738,1100,(7+5)*10/5,,,,,,,,,,,1
169,1164,7 10 11 13,13.49,0.733,1111,(13-11)*7+10,,,,,,,,,,,1
170,1177,2 2 6 7,16.26,0.725,1176,(7+2)*2+6,(7+6)*2-2,,,,,,,,,,2
171,1178,2 6 8 9,18.52,0.7240000000000001,1210,(6*2-9)*8,9*8*2/6,,,,,,,,,,2
172,1184,1 5 5 10,15.65,0.7120000000000001,1168,(10-5)*5-1,,,,,,,,,,,1
173,1197,2 2 7 7,14.97,0.698,1152,(7+7-2)*2,,,,,,,,,,,1
174,1208,6 10 10 13,14.57,0.691,1138,(13-10)*10-6,,,,,,,,,,,1
175,1210,4 7 8 11,15.79,0.69,1171,(11-7)*4+8,,,,,,,,,,,1
176,1218,1 2 8 10,20.88,0.677,1233,(8-1)*2+10,,,,,,,,,,,1
177,1223,3 5 12 12,14.26,0.672,1127,12*5-12*3,(12*5+12)/3,,,,,,,,,,2
178,1237,3 5 7 11,21.39,0.64,1240,(11-5)*(7-3),(11*7-5)/3,,,,,,,,,,2
179,1243,8 8 8 11,17.01,0.635,1192,11*8-8*8,,,,,,,,,,,1
180,1265,2 3 13 13,26.93,0.584,1268,13*3-13-2,,,,,,,,,,,1
181,1266,8 9 11 11,25.64,0.58,1263,(11-8)*11-9,,,,,,,,,,,1
182,1272,2 3 7 9,30.64,0.5760000000000001,1276,(9+7)*3/2,(7-2)*3+9,(7*3-9)*2,,,,,,,,,3
183,1277,1 2 7 7,32.73,0.55,1282,(7*7-1)/2,,,,,,,,,,,1
184,1281,3 5 10 10,25.12,0.5429999999999999,1260,(10-10/5)*3,,,,,,,,,,,1
185,1285,2 2 7 10,30.9,0.534,1278,(10/2+7)*2,,,,,,,,,,,1
186,1302,5 9 10 11,47.17,0.42700000000000005,1301,9*5-11-10,,,,,,,,,,,1
187,1306,3 5 8 13,50.53,0.419,1306,8*5-13-3,,,,,,,,,,,1
188,1308,5 10 10 11,42.21,0.413,1297,(11*10+10)/5,,,,,,,,,,,1
189,1310,1 3 9 10,55.16,0.408,1310,(10+1)*3-9,,,,,,,,,,,1
190,1319,4 4 7 7,56.41,0.38799999999999996,1312,(4-4/7)*7,,,,,,,,,,,1
191,1321,1 6 11 13,54.62,0.381,1309,(13*11+1)/6,,,,,,,,,,,1
192,1328,5 6 8 13,68.54,0.364,1330,(13+5)*8/6,,,,,,,,,,,1
193,1339,2 2 10 11,96.37,0.302,1347,(11*2-10)*2,,,,,,,,,,,1
194,1340,4 8 8 11,88.95,0.3,1341,(11*8+8)/4,,,,,,,,,,,1
195,1348,1 4 5 6,195.91,0.287,1360,6/(5/4-1),4/(1-5/6),,,,,,,,,,2
196,1349,2 4 7 12,108.41,0.281,1353,(7+2)*4-12,12/(4-7/2),,,,,,,,,,2
197,1350,9 11 12 13,99.38,0.27899999999999997,1348,(13+9)*12/11,,,,,,,,,,,1
198,1351,3 3 7 13,88.82,0.276,1339,(7*3-13)*3,,,,,,,,,,,1
199,1354,2 7 7 10,90.8,0.27,1343,(10/7+2)*7,,,,,,,,,,,1
